ImageNumber,Image_Metadata_GeneSymbol,Image_Metadata_AlleleDesc
9938,EMPTY,
9640,EMPTY,
10137,EMPTY,
10128,EMPTY,
10118,EMPTY,
9939,EMPTY,
10129,EMPTY,
10138,EMPTY,
10597,EMPTY,
10119,EMPTY,
10130,EMPTY,
10707,EMPTY,
10139,EMPTY,
10598,EMPTY,
10120,EMPTY,
10827,EMPTY,
10708,EMPTY,
10599,EMPTY,
10140,EMPTY,
11087,EMPTY,
11336,EMPTY,
10918,EMPTY,
10600,EMPTY,
11088,EMPTY,
10919,EMPTY,
11337,EMPTY,
10819,EMPTY,
11377,EMPTY,
10710,EMPTY,
10920,EMPTY,
11338,EMPTY,
10820,EMPTY,
11368,EMPTY,
11627,YAP1,WT.1
11557,EMPTY,
11657,YAP1,WT.2
11339,EMPTY,
11369,EMPTY,
11936,EMPTY,
11379,EMPTY,
11966,YAP1,WT.3
11080,EMPTY,
11558,EMPTY,
11628,YAP1,WT.1
11986,YAP1,WT.4
11340,EMPTY,
11370,EMPTY,
11380,EMPTY,
12146,EMPTY,
11797,EMPTY,
11937,EMPTY,
11659,YAP1,WT.2
11559,EMPTY,
12047,EMPTY,
11987,YAP1,WT.4
12147,EMPTY,
11938,EMPTY,
11660,YAP1,WT.2
12048,EMPTY,
11968,YAP1,WT.3
12426,EMPTY,
11560,EMPTY,
12267,WWTR1,WT
11620,YAP1,WT.1
12148,EMPTY,
11988,YAP1,WT.4
12297,EMPTY,
12327,EMPTY,
11939,EMPTY,
11799,EMPTY,
11969,YAP1,WT.3
12149,EMPTY,
12298,EMPTY,
12328,EMPTY,
11980,YAP1,WT.4
11940,EMPTY,
12777,EMPTY,
12050,EMPTY,
12597,EMPTY,
11970,YAP1,WT.3
12428,EMPTY,
12150,EMPTY,
12259,WWTR1,WT
12778,EMPTY,
12299,EMPTY,
12329,EMPTY,
13096,EMPTY,
12779,EMPTY,
12598,EMPTY,
13056,EMPTY,
12300,EMPTY,
12889,EMPTY,
13097,EMPTY,
12780,EMPTY,
12330,EMPTY,
12260,WWTR1,WT
12817,EMPTY,
12599,EMPTY,
13098,EMPTY,
12890,EMPTY,
12898,EMPTY,
13099,EMPTY,
13396,EMPTY,
12600,EMPTY,
13058,EMPTY,
13100,EMPTY,
12899,EMPTY,
13397,EMPTY,
13577,EMPTY,
13597,EMPTY,
13059,EMPTY,
13578,EMPTY,
13598,EMPTY,
12819,EMPTY,
13398,EMPTY,
13587,EMPTY,
13579,EMPTY,
13599,EMPTY,
13580,EMPTY,
13399,EMPTY,
12820,EMPTY,
13588,EMPTY,
14056,EMPTY,
13400,EMPTY,
13589,EMPTY,
14057,EMPTY,
13590,EMPTY,
14277,EMPTY,
14377,EMPTY,
14058,EMPTY,
14158,EMPTY,
14796,EMPTY,
14539,EMPTY,
14378,EMPTY,
14792,EMPTY,
14836,EMPTY,
14831,EMPTY,
14841,EMPTY,
14826,EMPTY,
14159,EMPTY,
15021,EMPTY,
14540,EMPTY,
14793,EMPTY,
14379,EMPTY,
15016,EMPTY,
15081,YAP1,WT.1
15076,YAP1,WT.1
14832,EMPTY,
15116,YAP1,WT.2
14837,EMPTY,
14794,EMPTY,
14160,EMPTY,
14827,EMPTY,
14280,EMPTY,
14795,EMPTY,
14380,EMPTY,
15251,EMPTY,
14788,EMPTY,
14833,EMPTY,
15117,YAP1,WT.2
15082,YAP1,WT.1
15112,YAP1,WT.2
14838,EMPTY,
15396,EMPTY,
15391,EMPTY,
14828,EMPTY,
15436,YAP1,WT.4
15421,YAP1,WT.3
15078,YAP1,WT.1
15426,YAP1,WT.3
14824,EMPTY,
15441,YAP1,WT.4
15018,EMPTY,
14834,EMPTY,
15247,EMPTY,
15118,YAP1,WT.2
15113,YAP1,WT.2
14789,EMPTY,
15252,EMPTY,
15083,YAP1,WT.1
15501,EMPTY,
15397,EMPTY,
15506,EMPTY,
14839,EMPTY,
15392,EMPTY,
14829,EMPTY,
15422,YAP1,WT.3
15014,EMPTY,
15079,YAP1,WT.1
15437,YAP1,WT.4
15601,EMPTY,
14825,EMPTY,
14835,EMPTY,
15019,EMPTY,
15606,EMPTY,
15119,YAP1,WT.2
15442,YAP1,WT.4
15114,YAP1,WT.2
15248,EMPTY,
15502,EMPTY,
14790,EMPTY,
15084,YAP1,WT.1
15253,EMPTY,
15398,EMPTY,
15716,WWTR1,WT
15721,WWTR1,WT
14840,EMPTY,
15393,EMPTY,
15751,EMPTY,
15423,YAP1,WT.3
15080,YAP1,WT.1
15507,EMPTY,
15756,EMPTY,
14830,EMPTY,
15781,EMPTY,
15438,YAP1,WT.4
15418,YAP1,WT.3
15015,EMPTY,
15020,EMPTY,
15602,EMPTY,
15786,EMPTY,
15443,YAP1,WT.4
